"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МИЕЩ ПРЕПАРАТ ФЕЯ 400МЛ БАЛСАМ ОРХИДЕЯ","020825","79","1.12","0.95"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ПАСТА ЗА ЗЪБИ АКВАФРЕШ 125МЛ МАЙЛД МИНТ ЗЕЛЕНА","021380","81","3.06",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ МЕРИЛИН СЛИМ БЛУ","024048","78","3.17",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ МЕРИЛИН СЛИМ ПИНК","024057","78","3.17",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ КИНГ М РЕД","024189","78","3.07",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ КИНГ 100 РЕД","024216","78","3.07",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ КОРСЕТ СУПЕР СЛИМ ЛИЛАВ","024273","78","3.22",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ КОРСЕТ СУПЕР СЛИМ РОЗОВИ","024296","78","3.07",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ КИНГ X-CUT РЕД LS RC","024600","78","3.17",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ КИНГ X-CUT БЛУ LS RC","024601","78","2.91",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ МЕРИЛИН СЛИМ УАЙТ","024610","78","3.07",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ МЕРИЛИН ПЛЮС 100 ПИНК","024666","78","3.22",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЦИГАРИ МЕРИЛИН ПЛЮС 100 БЛУ","024667","78","3.07",""
